Period Name,Short Desc,Temperature
Today,Sunny,High: 63 °F
Tonight,Partly Cloudy,Low: 49 °F
Thursday,Mostly Sunny,High: 62 °F
ThursdayNight,Partly Cloudy,Low: 49 °F
Friday,Mostly Sunny,High: 62 °F
FridayNight,Mostly Cloudy,Low: 50 °F
Saturday,Mostly Cloudy,High: 61 °F
SaturdayNight,Chance Rain,Low: 52 °F
Sunday,Rain,High: 58 °F
