,Period Name,Short Desc,Temperature
0,Overnight,Mostly Cloudy,Low: 50 °F
1,Thursday,DecreasingClouds,High: 60 °F
2,ThursdayNight,Partly Cloudy,Low: 49 °F
3,Friday,Mostly Sunny,High: 63 °F
4,FridayNight,Mostly Cloudy,Low: 50 °F
5,Saturday,Mostly Cloudy,High: 60 °F
6,SaturdayNight,Chance Rain,Low: 52 °F
7,Sunday,Rain,High: 57 °F
8,SundayNight,Rain Likely,Low: 48 °F
